nom_depto;depto;nom_mun;codigo;NBI1993;NBI2005;HDCT93;HDCL93;HDCT2005;HDCL2005;TMI2005;TMI2016;VA2011;VA2015;CON2018;SUB2018
ANTIOQUIA;5;Rionegro;5615;17,57076317;12,46202736;6,16;15,35;3,13;7,1;10,02;8,983408491;1948,728155;2663,128776;1,087571145;0,183756108
ANTIOQUIA;5;Sabanalarga;5628;62,54565129;60,27853093;2,78;82,98;4,82;78,02;25,37;18,84217776;41,2566933;67,55307678;0,087657185;0,882676108
ANTIOQUIA;5;Sabaneta;5631;10,78769585;6,838154665;2,75;10,26;3,47;4,93;11,56;9,022246673;1325,761834;2190,151769;0,988316177;0,111897964
ANTIOQUIA;5;Salgar;5642;46,06637807;38,58158392;3,65;55,82;5,53;47,37;15,42;16,08216038;127,5374955;162,4676431;0,128856832;0,739538611
ANTIOQUIA;5;San Andrés;5647;54,90316254;37,24423161;1,63;78,72;2,81;49,91;19,47;12,60730377;38,47148316;51,42105907;0,227921647;0,718293493
ANTIOQUIA;5;San Carlos;5649;53,60449896;32,41479955;4,25;53,94;1,25;30,76;18,43;17,05487864;617,0513327;930,4038311;0,142076842;0,633169884
ANTIOQUIA;5;San Francisco;5652;76,57230512;49,92010227;9,16;88,08;3,66;55,15;27,84;24,12569925;30,13909982;36,95057049;0,090056652;0,980269584
ANTIOQUIA;5;San Jerónimo;5656;39,68616855;34,40163909;2,16;45,19;2,41;31,98;18,4;15,68410059;102,724098;144,8673266;0,348996956;0,506986184
ANTIOQUIA;5;San José De La Montaña;5658;30,17928287;21,52188112;2,09;49,48;2,15;41,67;17,46;14,64430756;22,76821985;27,66478294;0,321964128;0,587180241
ANTIOQUIA;5;San Juan De Uraba;5659;89,27387579;75,86115014;21,47;77,94;10,9;69,63;36,26;28,60102208;132,2215685;189,0310142;0,037673067;0,800581351
ANTIOQUIA;5;San Luis;5660;58,24738271;33,57325504;4,09;61,94;1,87;44,88;18,51;18,59049901;75,77595873;84,99577895;0,337816818;0,935767225
ANTIOQUIA;5;San Pedro;5664;30,57708872;17,87153603;1,38;51,02;1,5;27,5;16,78;14,65675481;363,859853;543,0765517;0,521789699;0,332642751
ANTIOQUIA;5;San Pedro De Uraba;5665;84,36611221;82,49716234;14,63;77,54;18,05;70,73;36,23;28,93914255;161,0761515;230,24712;0,075058172;0,972674675
ANTIOQUIA;5;San Rafael;5667;57,78035352;35,09837074;5,78;61,08;3,01;45,24;18,44;17,26866346;180,0831878;208,3843147;0,246077365;0,708171508
ANTIOQUIA;5;San Roque;5670;53,82946771;38,11573945;3,91;60;4,56;48,58;14,48;12,94747842;125,6137965;133,3675148;0,198547215;0,820641646
ANTIOQUIA;5;San Vicente;5674;56,27227723;29,92285493;1,1;75,23;8,59;50,59;16,59;14,75136801;146,5701697;205,1333804;0,13279149;0,724795315
ANTIOQUIA;5;Santa Bárbara;5679;36,99796145;28,45821258;4,07;38,99;1,73;30,14;16,02;13,04130346;161,5655552;192,4835189;0,277787993;0,609543073
ANTIOQUIA;5;Santa Rosa De Osos;5686;28,78127936;23,5189858;2,74;49,29;2,14;37,49;16,02;12,654407;381,3492281;504,7931267;0,514884535;0,441747838
ANTIOQUIA;5;Santo Domingo;5690;42,40532667;29,07438454;1,47;60,28;1,57;44,1;20,11;22,37779077;88,78157812;146,3667598;0,136734493;0,634915954
ANTIOQUIA;5;Santuario;5697;31,72142436;20,73321979;3,02;29,41;3,62;16,26;11,86;11,45119988;237,6316363;436,692717;0,45286968;0,542026218
ANTIOQUIA;5;Segovia;5736;52,83620374;41,36701954;14,82;62,67;8,47;61,69;20,64;19,97102876;288,0861963;438,7313246;0,336148526;0,570586094
ANTIOQUIA;5;Sonson;5756;34,93236505;33,74854531;3,65;52,83;4,52;40;20,89;16,82850024;400,4509888;631,9982674;0,173362924;0,672872954
ANTIOQUIA;5;Sopetrán;5761;41,47304619;33,55293669;3,79;54,57;4,14;45,51;18,42;17,19136149;86,27831057;130,1250439;0,179900911;0,514595608
ANTIOQUIA;5;Támesis;5789;33,56862745;28,24830672;1,86;44,05;2,31;34,01;17,33;16,50926467;132,5484035;156,5793779;0,286081579;1,592106177
ANTIOQUIA;5;Taraza;5790;70,39395963;62,54676168;11,45;62,25;14,07;45,16;27,88;23,00653767;418,4222185;307,4141396;0,0575605;0,200607768
ANTIOQUIA;5;Tarso;5792;46,31858684;38,94468808;7,77;50,9;7,66;38,4;26,51;22,77505946;101,0986837;72,11230979;0,240980515;3,648397234
ANTIOQUIA;5;Titiribí;5809;40,76409496;27,78323634;2,47;42,3;13,84;18,01;15,83;13,72792355;100,8064016;99,05940962;0,242843446;0,207985208
ANTIOQUIA;5;Toledo;5819;70,00395205;50,47487139;6;84,74;3,08;60,08;21,14;15,42459774;38,27571922;55,19546509;0,13980464;0,552655678
ANTIOQUIA;5;Turbo;5837;70,11762903;67,38367227;8,74;79;6,37;69,45;25,86;19,38429119;1652,950045;2185,466595;0,222311569;0,024248597
ANTIOQUIA;5;Uramita;5842;75,53630913;63,59377153;5,77;80,62;5,56;77,05;26,3;20,17606981;46,06424218;58,03354068;0,07784941;11,27587885
ANTIOQUIA;5;Urrao;5847;58,8005997;40,20036495;8,14;57,33;8,02;41,08;19,53;17,09443653;227,6075317;294,8324975;0,087981523;0,120468015
ANTIOQUIA;5;Valdivia;5854;65,18981524;54,4908727;13,16;67,66;7,04;59,23;35,97;24,69518799;98,44360402;138,1031744;0,055115073;1,054043629
ANTIOQUIA;5;Valparaíso;5856;40,50849529;26,24621755;3,05;41,62;4,34;26,23;21,82;14,35959055;59,16370265;68,55540946;0,252324254;2,087098353
ANTIOQUIA;5;Vegachi;5858;60,73384447;46,32596076;10,92;63,64;6,25;37,33;16,32;14,61644812;88,45892074;96,25102018;0,282718489;0,351778656
ANTIOQUIA;5;Venecia;5861;36,33563639;26,01430184;5,49;38,72;12,9;17,76;16,46;12,51058165;113,2959991;128,9277749;0,304133858;0,754618413
ANTIOQUIA;5;Vigía Del Fuerte;5873;94,70180305;68,34586466;9,59;90,34;4,81;93,45;45,52;39,31024814;31,37350905;42,82793729;0,031038173;1,003745986
ANTIOQUIA;5;Yali;5885;61,1498487;44,94166534;4,22;66,9;2,41;49,1;16,73;12,91108041;45,97500578;59,66556106;0,102757483;0,820527928
ANTIOQUIA;5;Yarumal;5887;39,9787944;28,25643382;3,62;41,27;2,56;19,09;15,46;12,55489699;336,5047213;427,0236137;0,312970101;0,109448901
ANTIOQUIA;5;Yolombó;5890;43,53982301;40,62873507;2,76;72,17;4,27;75,83;18,23;14,56205084;1055,601551;175,3509472;0,123019872;1,121447862
ANTIOQUIA;5;Yondó;5893;70,64188804;59,05479214;14,43;65,47;8,21;57,8;24,45;19,81994669;116,6950627;915,629864;0,04187968;0,743454686
ANTIOQUIA;5;Zaragoza;5895;68,86083132;64,29899076;16,99;63,46;12,67;54,96;26,97;23,27247564;208,8547118;396,9625647;0,063168587;0,336444148
ATLANTICO;8;Barranquilla;8001;27,75786008;17,7181902;15,12;31,02;15,16;12,28;15,59;12,49260697;14099,27001;20077,55902;0,642215765;0,506327187
ATLANTICO;8;Baranoa;8078;31,05552474;26,81752635;10,93;79,12;10,44;77,82;18,88;14,90825793;302,1766177;602,2701605;0,176558341;0,62667616
ATLANTICO;8;Campo de la Cruz;8137;62,12078783;62,86484182;12,4;85,75;13,16;80,92;28,08;29,64842514;57,48251734;82,37072399;0,074473582;1,524867588
ATLANTICO;8;Candelaria;8141;75,85603113;74,21638531;10,97;85,78;9,82;78,17;17,92;13,69677082;39,83319177;68,23496262;0,065293742;1,139687101
ATLANTICO;8;Galapa;8296;35,10934629;39,19304346;13,52;83,42;11,08;84,12;24,93;19,10541233;238,7005324;494,4147795;0,198944404;0,598651675
ATLANTICO;8;Juan de Acosta;8372;39,10505837;30,95300773;4,12;83,36;4;71,92;21,69;19,08257122;88,82280159;112,7446219;0,118945539;0,798493627
ATLANTICO;8;Luruaco;8421;52,31964484;50,54326102;7,82;76,5;8,9;68,89;17,67;15,84163975;104,5659612;138,8907111;0,047577604;0,779010734
ATLANTICO;8;Malambo;8433;35,89087572;31,84410099;11,92;42,01;15,43;33,18;19,95;12,7840032;805,0012657;1399,007847;0,171252236;0,611882026
ATLANTICO;8;Manatí;8436;69,22572178;57,14476188;5,45;94,14;6,17;93,64;31,44;26,37534525;64,15812744;92,2333799;0,052527009;0,990686701
ATLANTICO;8;Palmar De Varela;8520;53,68388237;37,66356763;7,81;91,61;6,96;92,93;25,26;16,12329226;91,309686;139,8377163;0,096878658;0,6588373
ATLANTICO;8;Piojó;8549;44,08805031;54,0346936;6;72,04;4,2;80,75;33,19;25,21154767;22,87246813;29,35114943;0,041085271;0,756782946
ATLANTICO;8;Polo Nuevo;8558;41,07943339;35,36263911;10,28;84,49;4;85,89;24,87;16,10150872;111,9915182;135,3417441;0,096724371;0,716326662
ATLANTICO;8;Ponedera;8560;52,68145596;50,03404696;9,9;83,96;6,87;74,18;21,42;16,67227402;90,73905368;140,5421575;0,040810091;0,810614988
ATLANTICO;8;Puerto Colombia;8573;35,50500382;24,74014721;8,05;49,05;6,47;24,36;17,72;13,07161704;299,208766;345,1564957;0,309017827;0,642822584
ATLANTICO;8;Repelón;8606;61,12857852;52,33123789;9,8;78,77;10,62;73,22;17,33;14,20012103;102,5992116;169,6490918;0,041003809;0,784748674
ATLANTICO;8;Sabanagrande;8634;42,65804175;39,87950289;15,48;65,8;19,83;21,53;20,81;17,41307773;210,4924658;277,6128529;0,124276669;0,570121489
ATLANTICO;8;Sabanalarga;8638;36,18189774;39,14103937;13,46;53,73;14,79;48,24;29,82;29,25681232;378,3548522;582,6825153;0,281544106;0,62306588
ATLANTICO;8;Santa Lucia;8675;67,66577361;60,00387633;16,36;77,3;8,36;77,89;29,86;27,46030481;38,59805386;54,45038936;0,042211496;1,029574375
ATLANTICO;8;Santo Tomas;8685;48,01232359;33,84129938;10,82;83,12;9,02;49,91;21,07;17,15596326;132,3167196;191,3393274;0,24199163;0,250713811
ATLANTICO;8;Soledad;8758;23,00918788;24,06808487;14,41;19,72;14,52;23,02;16,92;12,65561606;2781,59823;4186,682268;0,000805717;0,026348344
ATLANTICO;8;Suan;8770;61,41624579;55,39918299;12,88;85,8;7,55;91,87;19,89;15,58871644;44,12447383;46,3914859;26,46865149;31,40467017
ATLANTICO;8;Tubará;8832;41,91629488;35,90260487;4,96;77,13;6,59;72,92;17,23;15,50917449;64,01404758;79,82757399;0,035474506;0,814552713
ATLANTICO;8;Usiacurí;8849;50,12;43,27979231;8,67;88,39;7,13;91,55;19,11;15,25255827;29,76943069;48,40902876;0,099093401;0,808032891
BOGOTA;11;Bogotá, D.C.;11001;17,2809718;9,20300877;32,88;11,38;14,64;4,51;14,25;11,5599682;137147;185949;0,777520458;0,143690536
BOLIVAR;13;Cartagena;13001;33,07495246;26,01059996;14,58;41,39;13,37;24,58;17,41;13,68671686;15066,1865;17684,46426;0,527110438;0,528429614
BOLIVAR;13;Achí5a;13006;89,16241699;80,74274161;25;72,5;33,19;65,9;43,19;32,94412493;113,7834719;177,8333773;0,022263217;0,821265356
BOLIVAR;13;Altos del Rosario5;13030;84,2;68,8326301;11,08101;;31,49;64,74;33,4;24,42884794;39,26905808;63,73308947;0,016672529;0,649173408
BOLIVAR;13;Arenal6;13042;90;59,17424963;11,08101;;6,81;83,24;23,25;20,25479564;49,2286222;77,79400926;0,016664134;0,356278175
BOLIVAR;13;Arjona;13052;61,07191185;58,83275789;9,66;88,09;16,07;74,68;22,87;19,07162662;348,7234835;484,3387287;0,077705889;0,71654422
BOLIVAR;13;Arroyohondo7;13062;63,5;67,80315945;11,08101;;9,25;72,47;34,97;26,42251927;37,969295;61,96989193;0,030469825;0,756339689
BOLIVAR;13;Barranco de Loba;13074;79,39576401;74,54185893;16,29;71,89;21,11;73,49;33,01;27,59490693;63,46895712;99,07975172;0,02382503;0,791327472
BOLIVAR;13;Calamar;13140;63,19700797;71,9874897;12;83,59;22,35;76,26;35,56;25,70152894;95,37112331;159,3281161;0,045553327;0,889000334
BOLIVAR;13;Cantagallo8;13160;83,7;61,87564303;11,08101;;9,57;57,2;19,29;15,89291854;851,7158143;495,936511;0,078275429;0,639912097
BOLIVAR;13;Cicuco9;13188;75,7;60,87669735;11,08101;;21,8;72,67;25,43;19,99676593;91,72286549;101,6998487;0,056747778;1,066265601
BOLIVAR;13;Córdoba;13212;83,98811062;70,23753712;8,01;89,26;19,76;62,01;29,12;21,15554258;65,01502823;91,39023375;0,043266894;1,165613353
BOLIVAR;13;Clemencia10;13222;64,8;72,0647335;11,08101;;26,49;71,31;22,67;15,85017927;63,5596848;161,9137794;0,027215686;0,855058824
BOLIVAR;13;El Carmen de Bolívar;13244;72,65335579;93,44722379;13,68;82,67;14,57;84,38;33,47;21,23274837;420,1791626;629,7722999;0,107304838;0,86596317
BOLIVAR;13;El Guamo;13248;74,24166458;59,11444847;10,98;87,15;8,19;76,22;27,14;20,18370113;39,48232452;88,73071492;0,046326084;0,920216188
BOLIVAR;13;El Peñon11;13268;84,2;72,86406529;11,08101;;24,25;70,73;32,26;24,83396581;31,37029384;61,32083577;0,021313131;0,695252525
BOLIVAR;13;Hatillo de Loba12;13300;84,4;78,34841228;11,08101;;22,91;63,22;33,13;26,11664778;43,86397913;69,73022415;0,038693177;0,905783351
